participant,block,trial,resp,RT,f,eq
LN,1,7,0,0.225,0,9.34470656
LN,1,7,0,0.225,107.23874129,6.10170571
LN,1,7,0,0.225,230.90626491,-3.76302294
LN,1,7,0,0.225,373.51943078,2.22716075
LN,1,7,0,0.225,537.98067721,-2.43293357
LN,1,7,0,0.225,727.63709087,-3.05408844
LN,1,7,0,0.225,946.34852608,8.27097048
LN,1,7,0,0.225,1198.56615988,6.56351127
LN,1,7,0,0.225,1489.42308164,-2.3573092
LN,1,7,0,0.225,1824.83876082,-5.8396233
LN,1,7,0,0.225,2211.63951892,4.14533979
LN,1,7,0,0.225,2657.69745762,-6.53457489
LN,1,7,0,0.225,3172.09067045,-0.04466151
LN,1,7,0,0.225,3765.28799853,-3.40698233
LN,1,7,0,0.225,4449.36209061,-0.15291941
LN,1,7,0,0.225,5238.23510351,5.67627017
LN,1,7,0,0.225,6147.96204348,-2.54511628
LN,1,7,0,0.225,7197.05751481,2.40074369
LN,1,7,0,0.225,8406.87252591,-0.85451086
LN,1,7,0,0.225,9802.02902128,-3.53359987
LN,1,7,0,0.225,11410.92098301,-4.67745344
LN,1,7,0,0.225,13266.29230024,-5.23538179
LN,1,7,0,0.225,15405.90316702,4.75424861
LN,1,7,0,0.225,17873.29857123,-11.14164099
LN,1,7,0,0.225,20718.69451459,-3.4780553
LN,1,7,0,0.225,24000,3.57436989
LN,1,8,0,0.219,0,0.71161341
LN,1,8,0,0.219,107.23874129,6.36714882
LN,1,8,0,0.219,230.90626491,9.2346076
LN,1,8,0,0.219,373.51943078,5.89754004
LN,1,8,0,0.219,537.98067721,9.71554025
LN,1,8,0,0.219,727.63709087,5.05081637
LN,1,8,0,0.219,946.34852608,-4.70129837
LN,1,8,0,0.219,1198.56615988,6.06074045
LN,1,8,0,0.219,1489.42308164,0.00979881
LN,1,8,0,0.219,1824.83876082,5.74924294
LN,1,8,0,0.219,2211.63951892,-5.30164755
LN,1,8,0,0.219,2657.69745762,-1.17779618
LN,1,8,0,0.219,3172.09067045,4.08074909
LN,1,8,0,0.219,3765.28799853,5.14228023
LN,1,8,0,0.219,4449.36209061,-9.25248434
LN,1,8,0,0.219,5238.23510351,6.90131474
LN,1,8,0,0.219,6147.96204348,-7.15933171
LN,1,8,0,0.219,7197.05751481,-5.21342084
LN,1,8,0,0.219,8406.87252591,7.40808162
LN,1,8,0,0.219,9802.02902128,-1.04091812
LN,1,8,0,0.219,11410.92098301,10.56778496
LN,1,8,0,0.219,13266.29230024,5.3885992
LN,1,8,0,0.219,15405.90316702,-0.31019764
LN,1,8,0,0.219,17873.29857123,0.12058433
LN,1,8,0,0.219,20718.69451459,-3.29672875
LN,1,8,0,0.219,24000,10.04446426
LN,1,8,1,0.219,0,2.42986279
LN,1,8,1,0.219,107.23874129,-5.19388421
LN,1,8,1,0.219,230.90626491,5.44989867
