subj,trial,block,sex,age,date,stim,stim_order,segment,segment_time,pitch,response,rt
3,7,1,m,20,23-May-2016,Sub3_Trial7_1,1,3,3,-1.4733739999999997,True,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_1,1,4,4,11.655239,True,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_1,1,5,5,110.242386,True,3.919
3,7,1,m,20,23-May-2016,Sub3_Trial7_1,1,6,6,32.191462,True,3.919
3,8,1,m,20,23-May-2016,Sub3_Trial8_0,0,0,0,-33.804477,False,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_0,0,1,1,88.64534,False,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_0,0,2,2,14.339247999999998,False,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_0,0,3,3,-107.273032,False,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_0,0,4,4,37.098821,False,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_0,0,5,5,44.689310000000006,False,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_0,0,6,6,34.860052,False,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_1,1,0,0,-151.269699,True,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_1,1,1,1,-1.0689910000000005,True,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_1,1,2,2,27.036599,True,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_1,1,3,3,-73.455708,True,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_1,1,4,4,-51.495586,True,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_1,1,5,5,-56.837079,True,3.057
3,8,1,m,20,23-May-2016,Sub3_Trial8_1,1,6,6,-136.878411,True,3.057
3,9,1,m,20,23-May-2016,Sub3_Trial9_0,0,0,0,-30.776165,True,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_0,0,1,1,-27.228346000000002,True,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_0,0,2,2,51.254823,True,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_0,0,3,3,114.661508,True,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_0,0,4,4,83.868635,True,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_0,0,5,5,-99.451133,True,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_0,0,6,6,-142.950401,True,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_1,1,0,0,54.143097,False,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_1,1,1,1,4.9362379999999995,False,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_1,1,2,2,-73.032866,False,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_1,1,3,3,74.470527,False,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_1,1,4,4,28.77342,False,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_1,1,5,5,-99.352231,False,3.077
3,9,1,m,20,23-May-2016,Sub3_Trial9_1,1,6,6,78.483718,False,3.077
3,10,1,m,20,23-May-2016,Sub3_Trial10_0,0,0,0,134.541846,False,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_0,0,1,1,-106.667486,False,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_0,0,2,2,-13.844757,False,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_0,0,3,3,8.360739000000002,False,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_0,0,4,4,17.019987,False,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_0,0,5,5,-124.817502,False,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_0,0,6,6,-142.278532,False,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_1,1,0,0,-85.363452,True,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_1,1,1,1,7.70448,True,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_1,1,2,2,7.170214,True,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_1,1,3,3,58.909226,True,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_1,1,4,4,115.534637,True,3.458
3,10,1,m,20,23-May-2016,Sub3_Trial10_1,1,5,5,-87.0932,True,3.458
