subj,trial,block,date,stim,stim_order,response,rt,age,sex,param_index,segment_time,pitch
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_173.wav,0,True,1495,52,Homme,6,0.426259,5.248120
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_8.wav,1,False,1495,52,Homme,0,0.000000,88.027847
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_8.wav,1,False,1495,52,Homme,1,0.071043,-108.976227
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_8.wav,1,False,1495,52,Homme,2,0.142086,36.591048
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_8.wav,1,False,1495,52,Homme,3,0.213129,7.260113
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_8.wav,1,False,1495,52,Homme,4,0.284172,-133.690195
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_8.wav,1,False,1495,52,Homme,5,0.355215,9.464811
20111971,4,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_8.wav,1,False,1495,52,Homme,6,0.426259,-67.780032
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_81.wav,0,True,2259,52,Homme,0,0.000000,35.884214
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_81.wav,0,True,2259,52,Homme,1,0.071043,19.404831
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_81.wav,0,True,2259,52,Homme,2,0.142086,121.693264
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_81.wav,0,True,2259,52,Homme,3,0.213129,29.127429
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_81.wav,0,True,2259,52,Homme,4,0.284172,71.322417
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_81.wav,0,True,2259,52,Homme,5,0.355215,138.687922
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_81.wav,0,True,2259,52,Homme,6,0.426259,110.537915
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_152.wav,1,False,2259,52,Homme,0,0.000000,-121.409464
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_152.wav,1,False,2259,52,Homme,1,0.071043,26.229918
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_152.wav,1,False,2259,52,Homme,2,0.142086,46.107283
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_152.wav,1,False,2259,52,Homme,3,0.213129,-122.378424
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_152.wav,1,False,2259,52,Homme,4,0.284172,64.911076
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_152.wav,1,False,2259,52,Homme,5,0.355215,129.744578
20111971,5,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_152.wav,1,False,2259,52,Homme,6,0.426259,51.632825
20111971,6,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_2.wav,0,False,632,52,Homme,0,0.000000,-26.280713
20111971,6,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_2.wav,0,False,632,52,Homme,1,0.071043,83.932106
20111971,6,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_2.wav,0,False,632,52,Homme,2,0.142086,59.369452
20111971,6,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_2.wav,0,False,632,52,Homme,3,0.213129,8.881156
20111971,6,0,2024-03-08T16:13:15.419Z,male_vraiment_flat_2.wav,0,False,632,52,Homme,4,0.284172,3.498385
